Header:
std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=7674, nanosec=489828461), frame_id='sensor_kit_base_link')
Fields:
sensor_msgs.msg.PointField(name='x', offset=0, datatype=7, count=1)
sensor_msgs.msg.PointField(name='y', offset=4, datatype=7, count=1)
sensor_msgs.msg.PointField(name='z', offset=8, datatype=7, count=1)
sensor_msgs.msg.PointField(name='intensity', offset=16, datatype=7, count=1)
sensor_msgs.msg.PointField(name='ring', offset=20, datatype=4, count=1)
sensor_msgs.msg.PointField(name='azimuth', offset=24, datatype=7, count=1)
sensor_msgs.msg.PointField(name='distance', offset=28, datatype=7, count=1)
sensor_msgs.msg.PointField(name='return_type', offset=32, datatype=2, count=1)
sensor_msgs.msg.PointField(name='time_stamp', offset=40, datatype=8, count=1)

Data:
Point(x=-9.237244, y=0.38708496, z=-2.1064763, intensity=100.0, ring=2, azimuth=0.0, distance=9.488527, return_type=0, time_stamp=0.0)
Point(x=-11.124298, y=0.46632004, z=-2.1346285, intensity=100.0, ring=3, azimuth=0.0, distance=11.34245, return_type=0, time_stamp=0.0)
Point(x=-13.847504, y=0.5804062, z=-2.164072, intensity=100.0, ring=4, azimuth=0.0, distance=14.032405, return_type=0, time_stamp=0.0)
Point(x=-18.35022, y=0.769104, z=-2.2224822, intensity=100.0, ring=5, azimuth=0.0, distance=18.504242, return_type=0, time_stamp=0.0)
Point(x=-27.322601, y=1.1449318, z=-2.35852, intensity=100.0, ring=6, azimuth=0.0, distance=27.451038, return_type=0, time_stamp=0.0)
Point(x=-47.16577, y=1.9767056, z=-2.4385428, intensity=100.0, ring=7, azimuth=0.0, distance=47.271942, return_type=0, time_stamp=0.0)
Point(x=-7.8723755, y=0.35750198, z=-2.0850313, intensity=100.0, ring=1, azimuth=0.0, distance=8.158465, return_type=0, time_stamp=0.0)
Point(x=-9.236786, y=0.41942978, z=-2.106653, intensity=100.0, ring=2, azimuth=0.0, distance=9.489491, return_type=0, time_stamp=0.0)
Point(x=-11.12384, y=0.5051346, z=-2.134846, intensity=100.0, ring=3, azimuth=0.0, distance=11.343696, return_type=0, time_stamp=0.0)
Point(x=-13.846405, y=0.6286011, z=-2.1642306, intensity=100.0, ring=4, azimuth=0.0, distance=14.033438, return_type=0, time_stamp=0.0)
Point(x=-18.348358, y=0.8330841, z=-2.2226284, intensity=100.0, ring=5, azimuth=0.0, distance=18.50519, return_type=0, time_stamp=0.0)
Point(x=-26.149658, y=1.1875191, z=-2.256149, intensity=100.0, ring=6, azimuth=0.0, distance=26.276611, return_type=0, time_stamp=0.0)
Point(x=-47.144653, y=2.1408348, z=-2.4378016, intensity=100.0, ring=7, azimuth=0.0, distance=47.258007, return_type=0, time_stamp=0.0)
Point(x=-7.8714294, y=0.38495255, z=-2.0851731, intensity=100.0, ring=1, azimuth=0.0, distance=8.158856, return_type=0, time_stamp=0.0)
Point(x=-9.235931, y=0.45174026, z=-2.106824, intensity=100.0, ring=2, azimuth=0.0, distance=9.490192, return_type=0, time_stamp=0.0)
Point(x=-11.122864, y=0.5440521, z=-2.1350577, intensity=100.0, ring=3, azimuth=0.0, distance=11.344583, return_type=0, time_stamp=0.0)
Point(x=-13.845093, y=0.6771469, z=-2.1643877, intensity=100.0, ring=4, azimuth=0.0, distance=14.034424, return_type=0, time_stamp=0.0)
Point(x=-18.346527, y=0.89711, z=-2.2227745, intensity=100.0, ring=5, azimuth=0.0, distance=18.506378, return_type=0, time_stamp=0.0)
Point(x=-25.438324, y=1.2441177, z=-2.194234, intensity=100.0, ring=6, azimuth=0.0, distance=25.566006, return_type=0, time_stamp=0.0)
Point(x=-47.123474, y=2.3048515, z=-2.4370587, intensity=100.0, ring=7, azimuth=0.0, distance=47.244564, return_type=0, time_stamp=0.0)
Point(x=-7.870514, y=0.4124794, z=-2.0853152, intensity=100.0, ring=1, azimuth=0.0, distance=8.159328, return_type=0, time_stamp=0.0)
Point(x=-9.235107, y=0.48405838, z=-2.106995, intensity=100.0, ring=2, azimuth=0.0, distance=9.491036, return_type=0, time_stamp=0.0)
Point(x=-11.121979, y=0.58283234, z=-2.1352699, intensity=100.0, ring=3, azimuth=0.0, distance=11.345684, return_type=0, time_stamp=0.0)
Point(x=-13.843903, y=0.72550964, z=-2.1645453, intensity=100.0, ring=4, azimuth=0.0, distance=14.035684, return_type=0, time_stamp=0.0)
Point(x=-18.344513, y=0.9613533, z=-2.222919, intensity=100.0, ring=5, azimuth=0.0, distance=18.507618, return_type=0, time_stamp=0.0)
Point(x=-25.4292, y=1.332531, z=-2.193824, intensity=100.0, ring=6, azimuth=0.0, distance=25.561354, return_type=0, time_stamp=0.0)
Point(x=-47.100403, y=2.4685612, z=-2.4362938, intensity=100.0, ring=7, azimuth=0.0, distance=47.229774, return_type=0, time_stamp=0.0)
Point(x=-7.869629, y=0.43990326, z=-2.0854578, intensity=100.0, ring=1, azimuth=0.0, distance=8.159945, return_type=0, time_stamp=0.0)
Point(x=-9.234009, y=0.5161896, z=-2.107161, intensity=100.0, ring=2, azimuth=0.0, distance=9.4916725, return_type=0, time_stamp=0.0)
Point(x=-11.121033, y=0.62176895, z=-2.1354816, intensity=100.0, ring=3, azimuth=0.0, distance=11.346855, return_type=0, time_stamp=0.0)
Point(x=-13.842194, y=0.77383804, z=-2.1646974, intensity=100.0, ring=4, azimuth=0.0, distance=14.036596, return_type=0, time_stamp=0.0)
Point(x=-18.342468, y=1.0256233, z=-2.2230635, intensity=100.0, ring=5, azimuth=0.0, distance=18.509073, return_type=0, time_stamp=0.0)
Point(x=-25.41983, y=1.4212646, z=-2.19341, intensity=100.0, ring=6, azimuth=0.0, distance=25.556795, return_type=0, time_stamp=0.0)
Point(x=-47.075928, y=2.6313934, z=-2.4355166, intensity=100.0, ring=7, azimuth=0.0, distance=47.214123, return_type=0, time_stamp=0.0)
Point(x=-7.8686523, y=0.46746063, z=-2.0855997, intensity=100.0, ring=1, azimuth=0.0, distance=8.160587, return_type=0, time_stamp=0.0)
Point(x=-59.747437, y=3.549652, z=1.0831491, intensity=100.0, ring=9, azimuth=0.0, distance=59.86189, return_type=0, time_stamp=0.0)
Point(x=-9.232849, y=0.5485039, z=-2.1073267, intensity=100.0, ring=2, azimuth=0.0, distance=9.492388, return_type=0, time_stamp=0.0)
Point(x=-59.672363, y=3.544899, z=3.1726918, intensity=100.0, ring=10, azimuth=0.0, distance=59.85958, return_type=0, time_stamp=0.0)
Point(x=-11.11972, y=0.6605339, z=-2.135687, intensity=100.0, ring=3, azimuth=0.0, distance=11.347805, return_type=0, time_stamp=0.0)
Point(x=-13.840393, y=0.8223686, z=-2.1648493, intensity=100.0, ring=4, azimuth=0.0, distance=14.037599, return_type=0, time_stamp=0.0)
Point(x=-18.339935, y=1.089592, z=-2.2232, intensity=100.0, ring=5, azimuth=0.0, distance=18.510235, return_type=0, time_stamp=0.0)
Point(x=-25.409546, y=1.5095291, z=-2.1929703, intensity=100.0, ring=6, azimuth=0.0, distance=25.551586, return_type=0, time_stamp=0.0)
Point(x=-47.052277, y=2.7955036, z=-2.4347453, intensity=100.0, ring=7, azimuth=0.0, distance=47.199924, return_type=0, time_stamp=0.0)
Point(x=-59.342377, y=3.525488, z=-1.0006514, intensity=100.0, ring=8, azimuth=0.0, distance=59.45606, return_type=0, time_stamp=0.0)
Point(x=-7.8674316, y=0.49497986, z=-2.0857368, intensity=100.0, ring=1, azimuth=0.0, distance=8.161059, return_type=0, time_stamp=0.0)
Point(x=-57.72412, y=3.6313496, z=1.0479854, intensity=100.0, ring=9, azimuth=0.0, distance=57.84703, return_type=0, time_stamp=0.0)
Point(x=-9.231659, y=0.5807915, z=-2.1074924, intensity=100.0, ring=2, azimuth=0.0, distance=9.493221, return_type=0, time_stamp=0.0)
Point(x=-57.660614, y=3.6273308, z=3.0677311, intensity=100.0, ring=10, azimuth=0.0, distance=57.85388, return_type=0, time_stamp=0.0)
Point(x=-11.118225, y=0.69960403, z=-2.1358087, intensity=100.0, ring=3, azimuth=0.0, distance=11.348696, return_type=0, time_stamp=0.0)
Point(x=-13.838165, y=0.8706322, z=-2.1649961, intensity=100.0, ring=4, azimuth=0.0, distance=14.03834, return_type=0, time_stamp=0.0)
Point(x=-18.343597, y=1.1539345, z=-2.2241805, intensity=100.0, ring=5, azimuth=0.0, distance=18.517876, return_type=0, time_stamp=0.0)
Point(x=-25.399231, y=1.5980835, z=-2.192542, intensity=100.0, ring=6, azimuth=0.0, distance=25.546658, return_type=0, time_stamp=0.0)
Point(x=-47.02719, y=2.958704, z=-2.4339619, intensity=100.0, ring=7, azimuth=0.0, distance=47.184837, return_type=0, time_stamp=0.0)
Point(x=-56.93805, y=3.5818348, z=-0.95882213, intensity=100.0, ring=8, azimuth=0.0, distance=57.05927, return_type=0, time_stamp=0.0)
Point(x=-7.8661804, y=0.52249527, z=-2.085874, intensity=100.0, ring=1, azimuth=0.0, distance=8.161591, return_type=0, time_stamp=0.0)
Point(x=-55.82553, y=3.7080402, z=1.0150005, intensity=100.0, ring=9, azimuth=0.0, distance=55.957054, return_type=0, time_stamp=0.0)
Point(x=-9.230164, y=0.6130638, z=-2.1076527, intensity=100.0, ring=2, azimuth=0.0, distance=9.493823, return_type=0, time_stamp=0.0)
Point(x=-55.7724, y=3.7046947, z=2.9692314, intensity=100.0, ring=10, azimuth=0.0, distance=55.972, return_type=0, time_stamp=0.0)
Point(x=-11.116028, y=0.73830414, z=-2.1359224, intensity=100.0, ring=3, azimuth=0.0, distance=11.349036, return_type=0, time_stamp=0.0)
Point(x=-13.8359375, y=0.91892624, z=-2.165143, intensity=100.0, ring=4, azimuth=0.0, distance=14.039267, return_type=0, time_stamp=0.0)
Point(x=-18.348022, y=1.2186165, z=-2.2251902, intensity=100.0, ring=5, azimuth=0.0, distance=18.526514, return_type=0, time_stamp=0.0)
Point(x=-25.388824, y=1.6865921, z=-2.1921134, intensity=100.0, ring=6, azimuth=0.0, distance=25.541967, return_type=0, time_stamp=0.0)
Point(x=-47.002136, y=3.121809, z=-2.4331794, intensity=100.0, ring=7, azimuth=0.0, distance=47.170338, return_type=0, time_stamp=0.0)
